0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
60.0,60.0,53.333333333333336,47.5,48.0,46.666666666666664,44.285714285714285,45.0,46.666666666666664,46.0,45.45454545454545,45.833333333333336,45.38461538461539,45.0,44.666666666666664,44.375,45.88235294117647,48.333333333333336,48.94736842105263,48.0
50.0,45.0,36.666666666666664,32.5,36.0,33.333333333333336,34.285714285714285,38.75,40.0,42.0,42.72727272727273,42.5,41.53846153846154,40.714285714285715,40.0,40.625,40.588235294117645,40.55555555555556,40.526315789473685,41.5
20.0,25.0,30.0,30.0,28.0,30.0,32.857142857142854,32.5,33.333333333333336,36.0,37.27272727272727,38.333333333333336,37.69230769230769,36.42857142857143,36.0,38.125,39.411764705882355,40.55555555555556,40.526315789473685,40.5
40.0,40.0,40.0,37.5,32.0,33.333333333333336,31.428571428571427,28.75,30.0,30.0,30.90909090909091,32.5,31.53846153846154,30.714285714285715,32.666666666666664,33.125,31.764705882352942,32.22222222222222,31.57894736842105,32.0
40.0,25.0,26.666666666666668,30.0,36.0,38.333333333333336,41.42857142857143,41.25,38.888888888888886,41.0,41.81818181818182,45.0,46.15384615384615,47.857142857142854,49.333333333333336,47.5,44.705882352941174,43.333333333333336,42.10526315789474,41.5
0.0,15.0,16.666666666666668,15.0,12.0,10.0,14.285714285714286,15.0,15.555555555555555,17.0,16.363636363636363,15.833333333333334,20.0,22.142857142857142,23.333333333333332,25.0,24.705882352941178,25.555555555555557,25.789473684210527,26.0
30.0,20.0,23.333333333333332,32.5,28.0,28.333333333333332,28.571428571428573,28.75,27.77777777777778,28.0,28.181818181818183,30.0,30.76923076923077,30.714285714285715,30.0,30.625,30.58823529411765,31.11111111111111,32.10526315789474,32.0
40.0,35.0,43.333333333333336,42.5,38.0,36.666666666666664,40.0,38.75,37.77777777777778,39.0,38.18181818181818,38.333333333333336,40.0,39.285714285714285,39.333333333333336,38.75,38.8235294117647,38.333333333333336,37.36842105263158,36.5
20.0,30.0,43.333333333333336,45.0,44.0,50.0,48.57142857142857,47.5,46.666666666666664,49.0,45.45454545454545,45.833333333333336,44.61538461538461,44.285714285714285,44.666666666666664,47.5,48.8235294117647,48.333333333333336,48.421052631578945,50.0
20.0,15.0,23.333333333333332,22.5,22.0,21.666666666666668,24.285714285714285,22.5,24.444444444444443,23.0,21.818181818181817,20.833333333333332,20.0,22.142857142857142,22.666666666666668,23.75,24.11764705882353,24.444444444444443,25.789473684210527,27.0
40.0,35.0,36.666666666666664,45.0,42.0,40.0,42.857142857142854,41.25,44.44444444444444,46.0,43.63636363636363,43.333333333333336,42.30769230769231,42.142857142857146,42.666666666666664,41.875,42.94117647058823,43.888888888888886,45.78947368421053,48.5
40.0,25.0,20.0,17.5,22.0,28.333333333333332,31.428571428571427,30.0,32.22222222222222,34.0,34.54545454545455,35.0,33.84615384615385,35.0,34.0,34.375,34.705882352941174,33.888888888888886,33.68421052631579,33.5
60.0,55.0,53.333333333333336,52.5,54.0,53.333333333333336,51.42857142857143,52.5,51.111111111111114,48.0,49.09090909090909,49.166666666666664,46.92307692307692,47.142857142857146,46.0,45.0,45.88235294117647,47.22222222222222,47.36842105263158,47.5
20.0,20.0,20.0,22.5,18.0,18.333333333333332,22.857142857142858,25.0,25.555555555555557,24.0,24.545454545454547,23.333333333333332,22.307692307692307,24.285714285714285,24.666666666666668,25.0,24.705882352941178,24.444444444444443,24.210526315789473,25.0
20.0,25.0,23.333333333333332,27.5,28.0,28.333333333333332,32.857142857142854,37.5,37.77777777777778,38.0,40.0,40.0,41.53846153846154,42.142857142857146,44.0,45.0,44.11764705882353,43.333333333333336,44.21052631578947,44.0
40.0,50.0,50.0,45.0,42.0,43.333333333333336,44.285714285714285,46.25,50.0,51.0,50.90909090909091,49.166666666666664,47.69230769230769,48.57142857142857,47.333333333333336,47.5,47.64705882352941,48.888888888888886,49.473684210526315,50.0
10.0,25.0,33.333333333333336,35.0,38.0,40.0,42.857142857142854,38.75,38.888888888888886,39.0,38.18181818181818,38.333333333333336,39.23076923076923,40.714285714285715,41.333333333333336,42.5,44.11764705882353,43.333333333333336,43.68421052631579,44.0
40.0,50.0,40.0,37.5,38.0,40.0,42.857142857142854,45.0,42.22222222222222,39.0,40.90909090909091,39.166666666666664,38.46153846153846,40.0,38.666666666666664,40.625,40.588235294117645,41.111111111111114,42.10526315789474,42.0
30.0,60.0,56.666666666666664,60.0,58.0,53.333333333333336,48.57142857142857,46.25,46.666666666666664,46.0,44.54545454545455,42.5,42.30769230769231,41.42857142857143,43.333333333333336,44.375,46.470588235294116,46.666666666666664,47.36842105263158,48.5
40.0,35.0,33.333333333333336,42.5,48.0,46.666666666666664,45.714285714285715,48.75,48.888888888888886,51.0,50.0,52.5,52.30769230769231,53.57142857142857,52.666666666666664,52.5,51.1764705882353,52.22222222222222,51.05263157894737,50.0
